,caracteristica,f_score,p_value
1,blood_pressure,771.8351705417431,2.115937980366958e-184
2,self_esteem,525.9943554393102,1.4935358285762355e-144
3,sleep_quality,508.6065074656513,2.450256063614147e-141
4,academic_performance,506.9584866019019,4.979359380998664e-141
5,bullying,478.958708568209,1.0432206371203091e-135
6,future_career_concerns,475.32260868036553,5.2727654192494627e-135
7,anxiety_level,454.377616133858,6.827521550348215e-131
8,depression,445.0525645584812,4.991987253983687e-129
9,basic_needs,431.48894211040175,2.8011448762243004e-126
10,teacher_student_relationship,412.198018269583,2.735613430671126e-122
11,safety,409.67387258754104,9.252036795481542e-122
12,headache,400.1744788028113,9.39672149636455e-120
13,peer_pressure,398.29106981254745,2.364466994622891e-119
14,extracurricular_activities,362.663724584428,1.387168656189542e-111
15,social_support,307.33341522172447,9.426367952810733e-99
16,mental_health_history,291.19028220583925,8.174482713183871e-95
17,noise_level,274.4253516417347,1.2684825121850109e-90
18,study_load,262.0480657721989,1.8467439913920834e-87
19,breathing_problem,194.37253910828275,5.145467996008854e-69
20,living_conditions,191.95217281782627,2.5732229122542597e-68
