,caracteristica,mi_score
1,blood_pressure,0.7575851377200513
2,future_career_concerns,0.6764206354521476
3,sleep_quality,0.6721748955416298
4,bullying,0.6626619091487271
5,self_esteem,0.6488301397377396
6,depression,0.6422762896369916
7,anxiety_level,0.631405205356065
8,headache,0.5828283679936399
9,extracurricular_activities,0.5536947218221824
10,teacher_student_relationship,0.5428787790352214
11,social_support,0.525080143370589
12,basic_needs,0.5127079560951022
13,academic_performance,0.5104443286107674
14,safety,0.5043095777560087
15,peer_pressure,0.45800214717456145
16,study_load,0.41268054467173054
17,living_conditions,0.40105131495031743
18,noise_level,0.39710445432080577
19,breathing_problem,0.3592076560716293
20,mental_health_history,0.21818406499844722
